loan_id, no_of_dependents, education, self_employed, income_annum, loan_amount, loan_term, cibil_score, residential_assets_value, commercial_assets_value, luxury_assets_value, bank_asset_value, loan_status
564,0, Graduate, No,1900000,4900000,8,838,3100000,3800000,1000000,700000, Approved
565,0, Graduate, Yes,8900000,39500000,8,334,24000000,20700000,9500000,13100000, Rejected
566,2, Not Graduate, No,2500000,9400000,2,530,6600000,4300000,3900000,500000, Rejected
567,0, Graduate, No,2400000,7500000,20,353,1600000,700000,3700000,3500000, Rejected
568,0, Not Graduate, No,2600000,6600000,18,540,7300000,2100000,2200000,500000, Approved
569,0, Not Graduate, Yes,6400000,27200000,18,756,2900000,1400000,7100000,3500000, Approved
570,4, Not Graduate, No,5700000,21900000,8,684,10600000,8600000,19700000,2600000, Approved
571,0, Not Graduate, Yes,9400000,27000000,12,752,21900000,23500000,27700000,4400000, Approved
572,1, Graduate, Yes,4200000,19200000,10,743,12200000,3900000,6500000,6300000, Approved
573,4, Graduate, Yes,2900000,5600000,10,896,5000000,1200000,4100000,2200000, Approved
574,2, Graduate, Yes,600000,1000000,12,828,600000,400000,500000,200000, Approved
575,2, Graduate, Yes,200000,700000,10,652,400000,300000,300000,300000, Approved
576,3, Not Graduate, No,3800000,18600000,16,826,3900000,5400000,7200000,1700000, Approved
577,3, Not Graduate, No,9200000,18300000,2,328,17900000,5300000,33700000,1900000, Rejected
578,2, Not Graduate, Yes,5300000,10600000,4,733,9100000,9900000,16400000,700000, Approved
579,5, Graduate, Yes,8900000,13900000,18,613,24700000,2000000,19400000,6700000, Approved
580,1, Not Graduate, Yes,1100000,4900000,18,875,1100000,1700000,1100000,1500000, Approved
581,1, Not Graduate, No,1100000,2100000,18,602,900000,1200000,3100000,100000, Approved
582,3, Not Graduate, No,8300000,25000000,8,407,14600000,2600000,31300000,9300000, Rejected
583,5, Not Graduate, Yes,1200000,6000000,10,735,400000,1900000,900000,600000, Approved
584,5, Graduate, No,700000,700000,2,871,700000,1200000,2400000,300000, Approved
585,4, Graduate, No,4100000,13200000,6,309,5600000,4500000,4600000,4400000, Rejected
586,0, Not Graduate, No,9200000,28100000,16,338,16600000,18400000,27200000,10600000, Rejected
587,4, Not Graduate, No,6900000,29200000,8,697,7500000,8800000,7900000,6100000, Approved
588,0, Not Graduate, Yes,1100000,2700000,10,633,2300000,800000,2900000,400000, Approved
589,5, Not Graduate, No,8400000,22200000,4,629,26000000,20000000,11200000,900000, Approved
590,0, Not Graduate, No,8400000,14000000,10,354,16800000,19800000,20100000,9500000, Rejected
591,0, Graduate, Yes,8000000,31700000,16,643,9200000,1900000,20800000,7500000, Approved
592,3, Graduate, No,9000000,37200000,12,641,3600000,21300000,24000000,6200000, Approved
593,3, Graduate, Yes,2500000,3900000,12,810,1600000,4800000,7200000,1000000, Approved
594,2, Not Graduate, No,9700000,25000000,20,534,19900000,2600000,7200000,11300000, Rejected
595,2, Not Graduate, Yes,3300000,15100000,6,509,8100000,4300000,9800000,700000, Rejected
596,4, Not Graduate, No,8000000,8100000,6,349,2900000,700000,8300000,8000000, Rejected
597,3, Not Graduate, No,5800000,12700000,14,640,4700000,8500000,16600000,6200000, Approved
598,4, Not Graduate, No,7800000,25100000,10,689,9800000,18200000,7300000,3200000, Approved
599,1, Graduate, No,6300000,14700000,20,468,7900000,5800000,13700000,4900000, Rejected
600,3, Graduate, Yes,6400000,13400000,2,739,21500000,8100000,11900000,5300000, Approved
601,0, Graduate, Yes,6200000,17600000,4,863,5400000,3500000,24100000,5800000, Approved
602,1, Graduate, Yes,7800000,13500000,8,404,3200000,10500000,21100000,10600000, Rejected
603,5, Not Graduate, Yes,7400000,23100000,10,644,10100000,14800000,6000000,6400000, Rejected
604,0, Graduate, No,1500000,5700000,18,717,1000000,800000,4400000,300000, Approved
605,2, Graduate, Yes,8200000,27100000,10,311,5100000,11300000,9700000,4800000, Rejected
606,2, Not Graduate, No,5400000,7400000,10,407,8300000,4800000,8100000,5300000, Rejected
607,1, Graduate, Yes,3300000,14400000,4,537,4000000,6200000,6000000,1900000, Approved
608,0, Not Graduate, No,5200000,8800000,10,382,2600000,9100000,16700000,6100000, Rejected
609,0, Graduate, Yes,9600000,39000000,12,513,21100000,16800000,36500000,3500000, Rejected
610,4, Not Graduate, No,8600000,21000000,12,388,16000000,8100000,32100000,2600000, Rejected
611,3, Not Graduate, Yes,8300000,34300000,14,838,3800000,12400000,9100000,3500000, Approved
612,3, Graduate, Yes,4700000,8600000,10,660,14300000,7700000,3300000,6200000, Approved
613,0, Not Graduate, No,7800000,13600000,4,497,8900000,13300000,26500000,8200000, Approved
614,3, Graduate, Yes,3900000,11700000,4,768,13200000,5600000,5900000,3200000, Approved
615,1, Graduate, No,6900000,7800000,4,311,22600000,15000000,17500000,3600000, Rejected
616,1, Graduate, Yes,6400000,12200000,14,658,10400000,4000000,25100000,8900000, Rejected
617,5, Graduate, Yes,2600000,10100000,18,710,2500000,400000,3000000,3500000, Approved
618,2, Not Graduate, No,2800000,12200000,18,786,8300000,6700000,5100000,1800000, Approved
619,0, Not Graduate, Yes,700000,900000,8,433,1000000,100000,2500000,800000, Rejected
620,3, Graduate, Yes,1500000,6800000,2,655,1100000,3400000,4200000,2100000, Approved
621,1, Not Graduate, No,4400000,18400000,14,761,8900000,6700000,16600000,2400000, Approved
622,0, Graduate, Yes,4800000,21500000,2,779,8700000,11000000,13000000,2700000, Approved
623,4, Graduate, No,1800000,6800000,14,405,5400000,2500000,2800000,1600000, Rejected
624,3, Not Graduate, No,4200000,15500000,8,886,10900000,8600000,13900000,2800000, Approved
625,1, Graduate, Yes,6100000,18900000,18,464,18900000,11000000,19300000,7100000, Rejected
626,4, Not Graduate, Yes,2400000,8700000,14,534,6300000,3200000,9000000,2000000, Rejected
627,1, Not Graduate, No,3500000,16400000,16,415,8100000,3200000,7600000,1400000, Rejected
628,3, Graduate, Yes,3800000,5300000,10,390,7000000,0,8600000,2300000, Approved
629,3, Graduate, No,5100000,11500000,18,453,17600000,3200000,8300000,5300000, Rejected
630,0, Graduate, Yes,3700000,4800000,12,381,12500000,8800000,5300000,600000, Rejected
631,4, Graduate, Yes,7400000,35400000,14,740,22200000,5100000,29500000,4300000, Approved
632,3, Graduate, No,3400000,9500000,8,659,9400000,6400000,13300000,400000, Approved
633,2, Not Graduate, No,4400000,16300000,10,534,9300000,5600000,10400000,5500000, Rejected
634,4, Not Graduate, No,3900000,17000000,18,628,4100000,3000000,15000000,1000000, Approved
635,4, Not Graduate, Yes,1900000,9400000,8,663,5900000,4700000,3300000,400000, Approved
636,2, Graduate, Yes,6900000,11400000,2,410,1600000,800000,24000000,8300000, Rejected
637,4, Graduate, Yes,2500000,10500000,8,478,2400000,3600000,6800000,600000, Rejected
638,0, Graduate, No,3100000,14100000,8,830,4800000,3600000,9300000,3300000, Approved
639,3, Not Graduate, Yes,7900000,9400000,10,307,16900000,1500000,23800000,5000000, Rejected
640,1, Graduate, Yes,9400000,37800000,2,875,19300000,5000000,25600000,11800000, Approved
641,3, Not Graduate, Yes,6700000,16200000,4,879,5200000,11600000,23300000,2400000, Approved
642,3, Graduate, No,9100000,32700000,8,452,5000000,2500000,17000000,2000000, Rejected
643,4, Not Graduate, No,8500000,26000000,10,492,7900000,17000000,29500000,3600000, Rejected
644,3, Not Graduate, No,4900000,10000000,2,424,6600000,7700000,5600000,6900000, Rejected
645,0, Not Graduate, No,7700000,11900000,8,636,1900000,1900000,9200000,9700000, Approved
646,5, Graduate, Yes,3400000,5000000,8,428,8400000,2400000,10200000,1700000, Rejected
647,3, Not Graduate, Yes,4700000,6600000,2,775,4800000,1600000,14700000,1800000, Approved
648,0, Graduate, Yes,5400000,19200000,6,532,7300000,10800000,19800000,1700000, Rejected
649,0, Graduate, Yes,9600000,23100000,6,881,12500000,12800000,14000000,3900000, Approved
650,0, Graduate, No,8500000,15900000,4,812,16100000,100000,5900000,3300000, Approved
651,1, Graduate, Yes,4900000,18500000,16,541,14900000,6700000,11200000,6600000, Rejected
652,1, Graduate, Yes,6500000,24400000,2,658,4500000,7800000,23200000,800000, Approved
653,5, Not Graduate, No,2100000,6600000,12,314,2800000,3400000,8200000,2800000, Rejected
654,4, Graduate, Yes,8000000,37900000,14,340,19900000,700000,28000000,1300000, Rejected
655,0, Graduate, Yes,5600000,14200000,18,604,1900000,500000,12400000,7000000, Approved
656,2, Graduate, Yes,5400000,23500000,12,584,15900000,4700000,19000000,3800000, Approved
657,1, Not Graduate, No,7700000,10000000,12,539,26000000,13300000,9600000,1600000, Approved
658,2, Graduate, No,6400000,25300000,16,354,14100000,10700000,23800000,7800000, Rejected
659,0, Graduate, Yes,900000,4500000,18,804,3000000,600000,2200000,400000, Approved
660,1, Not Graduate, Yes,3000000,13200000,6,544,4700000,1600000,5600000,4000000, Rejected
661,3, Not Graduate, No,1900000,6300000,16,582,3000000,3200000,4800000,2200000, Approved
662,3, Not Graduate, Yes,7400000,26000000,10,542,4100000,500000,24000000,10900000, Approved
663,5, Not Graduate, Yes,500000,1200000,2,598,200000,700000,700000,600000, Approved
664,5, Graduate, Yes,2100000,7800000,14,689,2100000,2200000,1800000,900000, Approved
665,2, Graduate, Yes,6000000,24500000,20,759,10700000,3600000,18400000,4000000, Approved
666,4, Not Graduate, Yes,7000000,35000000,4,630,13100000,9100000,26800000,7500000, Approved
667,5, Not Graduate, No,5100000,15100000,2,399,4700000,2800000,13900000,2800000, Rejected
668,2, Not Graduate, No,8600000,10700000,20,825,19100000,12100000,8600000,7400000, Approved
669,2, Not Graduate, No,9200000,31100000,12,471,7300000,3400000,25300000,4000000, Rejected
670,3, Graduate, No,1400000,2100000,6,309,1800000,1400000,1300000,1400000, Rejected
671,5, Not Graduate, Yes,9500000,18800000,16,323,8000000,12100000,14800000,5500000, Rejected
672,4, Not Graduate, No,6200000,14400000,8,765,15500000,500000,3800000,1100000, Approved
673,5, Not Graduate, No,6400000,25100000,8,532,12200000,9800000,14100000,9300000, Approved
674,4, Graduate, No,1100000,1900000,6,313,2900000,2100000,1800000,1400000, Rejected
675,1, Not Graduate, No,6200000,10300000,12,787,2400000,14800000,5200000,3300000, Approved
676,1, Not Graduate, Yes,7300000,8600000,4,482,11700000,3700000,11500000,2100000, Rejected
677,5, Graduate, No,5800000,26100000,8,887,19700000,3000000,16000000,6600000, Approved
678,2, Graduate, Yes,1000000,3800000,8,828,400000,800000,1500000,400000, Approved
679,1, Graduate, No,5300000,6100000,2,328,8400000,11800000,5300000,5000000, Rejected
680,1, Not Graduate, Yes,9300000,10400000,16,714,3100000,9500000,22400000,11100000, Approved
681,2, Graduate, Yes,7200000,23300000,2,662,4900000,5400000,22600000,3500000, Approved
682,3, Not Graduate, Yes,1500000,3200000,20,403,2600000,2800000,5100000,700000, Rejected
683,1, Graduate, No,9600000,32500000,2,506,6900000,900000,20700000,1800000, Rejected
684,1, Graduate, Yes,9500000,26000000,8,594,18200000,13000000,28400000,5200000, Approved
685,2, Not Graduate, Yes,1800000,8400000,2,387,5800000,2000000,6100000,1700000, Rejected
686,1, Not Graduate, Yes,8000000,17200000,8,733,6900000,12500000,22800000,2500000, Approved
687,5, Not Graduate, No,4100000,15200000,14,466,2300000,7500000,9600000,5900000, Approved
688,0, Graduate, No,6000000,7300000,2,863,17500000,4900000,4300000,6700000, Approved
689,4, Graduate, No,4500000,21700000,12,781,7700000,7200000,6800000,1700000, Approved
690,1, Graduate, Yes,7800000,38400000,16,681,24300000,10200000,12600000,6600000, Approved
691,3, Graduate, No,9900000,39200000,10,371,12000000,3300000,18600000,6400000, Rejected
692,1, Graduate, No,7900000,22600000,4,314,17900000,17400000,30200000,5000000, Rejected
693,5, Graduate, Yes,9300000,17500000,14,387,30200000,17500000,11400000,8200000, Rejected
694,5, Graduate, No,9400000,39500000,4,600,7200000,21700000,22500000,2400000, Rejected
695,2, Graduate, Yes,1000000,3900000,2,769,2800000,1800000,4000000,400000, Approved
696,0, Graduate, Yes,2600000,4900000,10,391,5900000,1600000,6900000,800000, Rejected
697,1, Not Graduate, Yes,7200000,20200000,6,725,20800000,7700000,8900000,2500000, Approved
698,4, Not Graduate, Yes,5900000,16800000,2,328,4500000,5700000,22800000,6000000, Rejected
699,4, Graduate, No,600000,2600000,16,459,1000000,100000,1000000,900000, Rejected
700,0, Graduate, No,1100000,4100000,12,659,700000,1100000,700000,1100000, Approved
701,0, Not Graduate, Yes,5300000,18900000,20,797,17900000,4600000,10700000,7800000, Approved
702,2, Graduate, Yes,6200000,22300000,10,766,2500000,100000,8300000,5600000, Approved
703,4, Not Graduate, Yes,1800000,3700000,10,620,700000,3800000,6100000,900000, Approved
704,4, Not Graduate, Yes,1800000,4500000,18,321,5700000,600000,2300000,2400000, Rejected
705,0, Not Graduate, No,1400000,1700000,2,476,1700000,1800000,4700000,300000, Approved
706,5, Graduate, No,5700000,23600000,8,770,12400000,11200000,3600000,1400000, Approved
707,1, Not Graduate, Yes,200000,500000,16,348,200000,300000,800000,300000, Rejected
708,1, Not Graduate, Yes,5800000,16000000,6,724,13600000,2500000,3800000,5900000, Approved
709,2, Not Graduate, No,4800000,9500000,18,723,4000000,7400000,18200000,6700000, Approved
710,4, Graduate, Yes,4700000,8600000,6,751,8100000,8900000,3600000,1300000, Approved
711,1, Graduate, Yes,6800000,22800000,10,430,13300000,14500000,24200000,8000000, Rejected
712,3, Graduate, Yes,5300000,10200000,18,447,6900000,4200000,18100000,2300000, Rejected
713,1, Graduate, Yes,7300000,9200000,6,419,7500000,600000,18800000,4200000, Rejected
714,0, Not Graduate, No,7600000,30900000,20,536,5000000,11600000,4800000,10300000, Approved
715,0, Graduate, Yes,9200000,23100000,2,614,23300000,5200000,24600000,6200000, Approved
716,2, Graduate, No,8000000,20200000,6,371,6000000,15600000,21300000,8300000, Rejected
717,0, Graduate, Yes,5200000,14200000,12,641,6100000,8800000,12700000,7000000, Approved
718,3, Graduate, No,5000000,21300000,12,443,6600000,9700000,13600000,6600000, Rejected
719,4, Graduate, No,2500000,5700000,20,637,4200000,6000000,9700000,300000, Approved
720,3, Not Graduate, No,6000000,24200000,20,481,15100000,8800000,23900000,1900000, Rejected
721,2, Not Graduate, No,1500000,7100000,14,873,2400000,3400000,3500000,2100000, Approved
722,1, Not Graduate, Yes,9300000,33900000,14,491,28600000,14900000,7600000,8300000, Rejected
723,0, Graduate, Yes,8400000,22900000,8,823,20500000,3800000,8100000,6500000, Approved
724,0, Not Graduate, Yes,1300000,5200000,18,405,3900000,2600000,3900000,200000, Rejected
725,0, Graduate, Yes,7900000,22400000,14,351,20300000,13700000,31100000,1100000, Rejected
726,3, Graduate, No,1300000,3500000,2,413,900000,3200000,2600000,1900000, Rejected
727,1, Graduate, Yes,7200000,22300000,18,552,24700000,4400000,6100000,5500000, Approved
728,3, Graduate, No,1000000,2300000,8,841,2800000,800000,1700000,1200000, Approved
729,2, Graduate, Yes,4900000,6900000,10,405,10200000,10100000,9100000,2000000, Rejected
730,1, Graduate, Yes,6600000,17600000,10,771,4900000,1000000,26300000,2900000, Approved
731,2, Not Graduate, Yes,7300000,10900000,18,718,5600000,11600000,21200000,6500000, Approved
732,2, Graduate, No,4300000,11400000,6,507,9600000,5800000,3900000,5700000, Approved
733,0, Graduate, Yes,9200000,29700000,8,502,14500000,3900000,15500000,4600000, Rejected
734,0, Graduate, Yes,7700000,36400000,2,869,18700000,3200000,5200000,4300000, Approved
735,5, Graduate, Yes,2200000,2500000,8,729,3100000,4500000,6100000,1900000, Approved
736,0, Not Graduate, Yes,6700000,23400000,2,443,12700000,300000,19100000,1000000, Rejected
737,1, Graduate, Yes,7300000,20700000,12,848,6000000,13600000,5100000,4600000, Approved
738,2, Not Graduate, No,3400000,3700000,18,544,2400000,6200000,5700000,3000000, Approved
739,2, Not Graduate, No,7400000,14800000,10,347,3300000,12000000,27100000,800000, Rejected
740,4, Graduate, No,9000000,13300000,20,788,26100000,9200000,30500000,8900000, Approved
741,4, Graduate, No,8200000,15300000,20,822,16700000,600000,20600000,1400000, Approved
742,3, Graduate, Yes,7600000,15900000,2,566,25300000,15200000,16700000,8400000, Approved
743,1, Not Graduate, Yes,6400000,16700000,12,723,17100000,2000000,25400000,7800000, Approved
744,5, Graduate, No,2800000,8700000,12,441,7700000,2000000,8500000,3600000, Rejected
745,0, Not Graduate, No,7900000,7900000,8,811,14900000,18700000,30300000,8200000, Approved
746,1, Graduate, Yes,3700000,6100000,18,521,10700000,2800000,2800000,3300000, Approved
747,2, Graduate, Yes,5400000,7400000,8,460,17900000,3400000,6700000,2900000, Rejected
748,2, Not Graduate, Yes,3200000,10200000,2,600,8300000,7800000,1900000,2200000, Approved
749,3, Graduate, Yes,3200000,7400000,12,460,1800000,700000,11300000,700000, Rejected
750,0, Not Graduate, No,1700000,5400000,6,673,4000000,700000,5000000,1900000, Approved
751,5, Not Graduate, Yes,9600000,18100000,8,749,5700000,10500000,10800000,1300000, Approved
752,0, Graduate, Yes,1600000,1800000,12,543,700000,3200000,6300000,1100000, Approved
753,2, Graduate, No,1000000,4800000,16,770,2500000,2200000,3800000,800000, Approved
754,3, Graduate, Yes,9300000,13300000,6,559,27500000,17600000,12000000,9400000, Approved
755,5, Not Graduate, Yes,5600000,8400000,8,883,4100000,13700000,15500000,3300000, Approved
756,3, Graduate, No,4400000,7000000,2,458,2000000,200000,12500000,3200000, Rejected
757,3, Not Graduate, Yes,7400000,36400000,8,723,23100000,11500000,3800000,6800000, Approved
758,1, Not Graduate, No,3900000,13500000,12,621,2500000,1100000,11400000,5400000, Approved
759,4, Graduate, Yes,1400000,4800000,14,867,400000,3200000,1800000,1500000, Approved
760,3, Graduate, Yes,7300000,36100000,6,431,18800000,17100000,26700000,3300000, Rejected
761,0, Graduate, Yes,1900000,2600000,2,418,5700000,1400000,6500000,2400000, Rejected
762,2, Not Graduate, No,5600000,27400000,12,821,10600000,11600000,20500000,1000000, Approved
763,5, Not Graduate, Yes,9500000,17300000,14,841,18800000,15000000,29900000,4600000, Approved
764,5, Graduate, Yes,9300000,32500000,2,749,12200000,2300000,10000000,2300000, Approved
765,1, Not Graduate, Yes,3700000,9900000,12,585,3700000,5600000,6500000,2700000, Approved
766,4, Not Graduate, No,7800000,19800000,2,546,21000000,19000000,23300000,7700000, Approved
767,1, Graduate, No,6200000,29300000,10,700,18600000,4800000,10100000,5200000, Approved
768,4, Not Graduate, No,4800000,7700000,14,749,6000000,0,14300000,5900000, Approved
769,3, Not Graduate, No,1500000,7500000,16,465,1700000,3700000,2500000,1300000, Rejected
770,1, Not Graduate, Yes,3800000,9600000,16,304,4100000,3900000,4300000,1600000, Rejected
771,5, Graduate, No,6500000,23400000,16,344,2400000,7000000,15000000,5500000, Rejected
772,1, Graduate, Yes,9800000,39500000,6,507,11000000,17500000,28400000,11100000, Rejected
773,2, Not Graduate, Yes,200000,300000,18,709,100000,300000,500000,200000, Approved
774,5, Not Graduate, Yes,7200000,33800000,8,564,20200000,5400000,19800000,5200000, Approved
775,1, Not Graduate, Yes,8400000,27500000,8,671,8800000,2100000,17100000,7100000, Approved
776,1, Graduate, No,9500000,36300000,16,582,23500000,19600000,30600000,8200000, Rejected
777,5, Graduate, No,4300000,6900000,8,451,8600000,5200000,11900000,2300000, Rejected
778,2, Not Graduate, Yes,1300000,4100000,2,749,3900000,2200000,3300000,1700000, Approved
779,4, Graduate, No,2800000,10300000,16,734,9400000,6000000,5700000,1100000, Approved
780,0, Not Graduate, No,8500000,24000000,14,878,12000000,400000,20200000,1200000, Approved
781,3, Graduate, Yes,8800000,14300000,12,796,4300000,18900000,6000000,10000000, Approved
782,0, Graduate, Yes,6400000,12600000,4,528,17100000,12000000,18100000,8200000, Rejected
783,2, Not Graduate, No,1400000,6200000,14,723,400000,3300000,1700000,1400000, Approved
784,1, Graduate, No,1300000,1500000,4,510,1200000,800000,4600000,1000000, Rejected
785,2, Graduate, Yes,4800000,18400000,12,824,1800000,3900000,16000000,7000000, Approved
786,2, Not Graduate, Yes,5900000,29500000,12,666,18700000,9800000,13900000,3700000, Approved
787,5, Graduate, Yes,500000,500000,16,801,100000,1200000,1700000,300000, Approved
788,3, Not Graduate, Yes,6900000,11300000,20,469,12600000,17100000,19600000,6400000, Rejected
789,0, Not Graduate, Yes,5500000,20300000,4,308,8800000,5700000,5500000,3900000, Rejected
790,2, Graduate, No,300000,400000,4,384,700000,400000,900000,300000, Rejected
791,4, Graduate, No,1100000,3700000,12,619,1300000,500000,4400000,1600000, Approved
792,2, Not Graduate, Yes,4600000,17200000,20,877,14200000,8000000,3000000,2000000, Approved
793,3, Graduate, Yes,7200000,24100000,4,676,18900000,15100000,9800000,2200000, Approved
794,3, Graduate, No,8200000,20200000,10,786,13300000,16400000,21300000,5700000, Approved
795,5, Not Graduate, Yes,4400000,16700000,10,582,6100000,3800000,8600000,3500000, Rejected
796,3, Graduate, Yes,3000000,10100000,8,876,8700000,7200000,8200000,3300000, Approved
797,3, Not Graduate, Yes,9600000,17600000,14,865,25900000,2900000,24500000,13800000, Approved
798,5, Graduate, Yes,4600000,15000000,6,430,7000000,5700000,15000000,4900000, Rejected
799,1, Not Graduate, No,3200000,14500000,10,818,4200000,4400000,2400000,4700000, Approved
800,4, Not Graduate, Yes,4500000,16500000,18,310,1500000,6000000,9200000,2000000, Rejected
801,4, Graduate, No,300000,900000,8,656,100000,600000,1100000,100000, Approved
802,2, Graduate, No,3100000,7100000,2,562,1200000,4700000,5500000,1600000, Approved
803,5, Not Graduate, Yes,5200000,7000000,18,481,1500000,1000000,11800000,6300000, Approved
804,1, Not Graduate, No,9200000,18200000,6,861,6500000,4100000,5300000,3300000, Approved
805,5, Not Graduate, Yes,7400000,7700000,16,698,22400000,9800000,9500000,2800000, Approved
806,0, Not Graduate, No,7800000,38600000,16,383,22100000,13500000,16600000,5300000, Rejected
807,1, Graduate, Yes,5500000,10400000,12,383,16400000,7100000,10400000,3000000, Rejected
808,1, Graduate, No,1200000,5100000,2,370,2700000,1100000,3600000,1200000, Rejected
809,2, Not Graduate, No,4000000,6700000,20,482,9000000,500000,10600000,5400000, Rejected
810,2, Not Graduate, Yes,9900000,21100000,14,341,6000000,19500000,35500000,2900000, Rejected
811,4, Graduate, No,600000,1600000,10,458,1500000,700000,2100000,500000, Rejected
812,2, Graduate, No,8800000,20200000,18,759,9900000,11900000,11800000,2000000, Approved
813,3, Graduate, No,6900000,28900000,16,825,13200000,8100000,3900000,2800000, Approved
814,0, Graduate, No,2900000,14000000,16,772,9700000,1900000,10100000,1500000, Approved
815,0, Not Graduate, No,7800000,35100000,4,598,24000000,5400000,12900000,7100000, Rejected
816,2, Graduate, No,8400000,13600000,14,717,8100000,1300000,14400000,7400000, Approved
817,0, Graduate, No,600000,2500000,6,867,1600000,1100000,600000,600000, Approved
818,0, Graduate, Yes,1200000,1900000,2,332,700000,800000,3500000,1500000, Rejected
819,0, Not Graduate, Yes,6700000,31200000,8,843,1900000,5000000,9900000,2400000, Approved
820,1, Graduate, Yes,9900000,30400000,4,734,2900000,24600000,11100000,11300000, Approved
821,1, Graduate, No,400000,900000,4,532,300000,400000,900000,400000, Approved
822,0, Not Graduate, No,6700000,10900000,16,569,16700000,8600000,20900000,1400000, Approved
823,1, Graduate, Yes,1500000,1600000,12,563,2100000,1400000,2200000,900000, Approved
824,1, Graduate, Yes,6500000,12900000,8,394,1600000,4700000,19700000,900000, Rejected
825,5, Graduate, Yes,6300000,29300000,4,438,21800000,100000,13300000,1400000, Rejected
826,3, Graduate, No,1000000,4200000,16,477,2000000,2100000,1900000,500000, Rejected
827,4, Graduate, Yes,6800000,33200000,14,303,10200000,8000000,12000000,3000000, Rejected
828,4, Not Graduate, Yes,8900000,12500000,12,601,17000000,16000000,9000000,12100000, Approved
829,0, Not Graduate, No,8600000,29000000,4,586,16500000,20600000,14300000,11600000, Approved
830,2, Not Graduate, No,400000,800000,4,498,700000,0,1400000,400000, Rejected
831,3, Not Graduate, Yes,2600000,8200000,4,406,5800000,4400000,2200000,2900000, Rejected
832,5, Graduate, Yes,2500000,5700000,2,882,7800000,700000,9600000,3700000, Approved
833,2, Not Graduate, Yes,4600000,9800000,20,707,5500000,5300000,4000000,3100000, Approved
834,1, Graduate, No,1600000,5300000,8,585,2900000,3400000,2800000,1300000, Rejected
835,4, Graduate, Yes,8500000,14700000,14,734,1800000,1500000,22300000,8600000, Approved
836,1, Not Graduate, Yes,7800000,22400000,20,523,23700000,19300000,26800000,10800000, Approved
837,5, Graduate, Yes,8100000,29200000,20,429,9800000,11800000,8100000,9800000, Rejected
838,2, Not Graduate, Yes,2100000,3200000,8,704,2300000,2100000,2100000,400000, Rejected
839,0, Graduate, Yes,300000,1400000,10,763,1000000,0,800000,300000, Approved
840,2, Graduate, Yes,9100000,27500000,10,690,19400000,13400000,13900000,4100000, Approved
841,5, Graduate, Yes,3000000,12800000,2,640,1800000,3700000,8300000,1400000, Approved
842,2, Graduate, Yes,6600000,23900000,16,301,7100000,3600000,22300000,5700000, Rejected
843,0, Graduate, Yes,9100000,34900000,12,683,12400000,11200000,7000000,9800000, Approved
844,2, Not Graduate, No,500000,1900000,8,671,1700000,0,1700000,200000, Approved
845,4, Graduate, Yes,200000,900000,12,547,300000,500000,100000,100000, Rejected
846,0, Graduate, No,200000,700000,16,446,200000,200000,700000,200000, Rejected
847,5, Graduate, No,1700000,3600000,2,888,3500000,2000000,6700000,500000, Approved
848,4, Not Graduate, Yes,700000,1000000,14,525,1100000,1400000,2000000,900000, Approved
849,4, Not Graduate, No,8200000,28100000,18,463,3100000,14600000,32300000,6100000, Rejected
850,4, Not Graduate, Yes,6100000,7700000,16,724,18600000,13600000,20600000,5600000, Approved
851,0, Graduate, Yes,9800000,19300000,14,589,2500000,23100000,6400000,2100000, Approved
852,4, Graduate, No,8000000,9900000,2,634,25300000,3800000,4100000,11500000, Approved
853,1, Graduate, No,9600000,30700000,16,689,27000000,9400000,5500000,13200000, Approved
854,0, Not Graduate, No,2500000,4100000,16,521,1100000,4300000,5200000,900000, Rejected
855,0, Graduate, No,3000000,10300000,10,391,7800000,300000,8000000,3100000, Rejected
856,0, Not Graduate, No,8500000,35400000,12,400,23300000,15200000,18600000,10300000, Rejected
857,0, Not Graduate, Yes,2500000,10700000,14,864,5500000,0,7200000,700000, Approved
858,5, Graduate, Yes,700000,1600000,4,603,1500000,1600000,1500000,600000, Approved
859,0, Not Graduate, No,6700000,21400000,6,550,2400000,12000000,4300000,8600000, Approved
860,3, Not Graduate, Yes,8000000,26000000,16,491,3200000,11300000,10300000,6500000, Rejected
861,0, Graduate, Yes,9600000,27800000,20,733,25000000,10300000,38200000,13400000, Approved
862,5, Not Graduate, Yes,9200000,33300000,6,848,5000000,22700000,15700000,1500000, Approved
863,3, Not Graduate, No,1300000,2400000,10,762,1300000,2400000,2100000,1800000, Approved
864,3, Not Graduate, No,7700000,37900000,20,621,14200000,15500000,8000000,11300000, Approved
865,0, Not Graduate, Yes,8400000,11700000,4,585,6200000,17300000,33200000,2700000, Approved
866,5, Not Graduate, Yes,7000000,30200000,6,820,19600000,400000,9100000,4900000, Approved
867,2, Graduate, No,8200000,27700000,2,814,23500000,1100000,22700000,7900000, Approved
868,0, Not Graduate, No,8400000,16600000,6,534,25000000,4200000,5400000,11300000, Rejected
869,4, Graduate, No,4500000,17900000,14,879,1600000,7400000,3300000,1500000, Approved
870,5, Graduate, No,500000,700000,8,797,800000,800000,1500000,300000, Approved
871,0, Not Graduate, Yes,4600000,18800000,20,808,13800000,3700000,12500000,5600000, Approved
872,1, Graduate, Yes,2100000,7100000,18,333,2900000,5100000,6000000,1400000, Rejected
873,3, Graduate, No,1300000,1900000,18,378,3200000,300000,1700000,1200000, Rejected
